order_id,customer_id,product_id,customer_name,city,state,zip_code,order_status,required_date,shipped_date,quantity,total_amount,store_name,staff_name,product_name,model_year,category_name,brand_name
1,259,20,"Johnathan Velazquez",Pleasanton,CA,94566,4,2016-01-03,2016-01-03,1,599.79,"Santa Cruz Bikes","Mireya Copeland","Electra Townie Original 7D EQ - Women's - 2016",2016,"Cruisers Bicycles",Electra
1,259,8,"Johnathan Velazquez",Pleasanton,CA,94566,4,2016-01-03,2016-01-03,2,3599.91,"Santa Cruz Bikes","Mireya Copeland","Trek Remedy 29 Carbon Frameset - 2016",2016,"Mountain Bikes",Trek
1,259,10,"Johnathan Velazquez",Pleasanton,CA,94566,4,2016-01-03,2016-01-03,2,3097.95,"Santa Cruz Bikes","Mireya Copeland","Surly Straggler - 2016",2016,"Cyclocross Bicycles",Surly
1,259,16,"Johnathan Velazquez",Pleasanton,CA,94566,4,2016-01-03,2016-01-03,2,1199.93,"Santa Cruz Bikes","Mireya Copeland","Electra Townie Original 7D EQ - 2016",2016,"Cruisers Bicycles",Electra
1,259,4,"Johnathan Velazquez",Pleasanton,CA,94566,4,2016-01-03,2016-01-03,1,2899.79,"Santa Cruz Bikes","Mireya Copeland","Trek Fuel EX 8 29 - 2016",2016,"Mountain Bikes",Trek
9,60,7,"Neil Mccall","San Carlos",CA,94070,4,2016-01-08,2016-01-08,2,7999.88,"Santa Cruz Bikes","Mireya Copeland","Trek Slash 8 27.5 - 2016",2016,"Mountain Bikes",Trek
12,91,4,"Marvin Mullins","San Diego",CA,92111,4,2016-01-08,2016-01-09,2,5799.88,"Santa Cruz Bikes","Mireya Copeland","Trek Fuel EX 8 29 - 2016",2016,"Mountain Bikes",Trek
12,91,11,"Marvin Mullins","San Diego",CA,92111,4,2016-01-08,2016-01-09,1,1680.94,"Santa Cruz Bikes","Mireya Copeland","Surly Straggler 650b - 2016",2016,"Cyclocross Bicycles",Surly
14,258,6,"Maribel William",Torrance,CA,90505,4,2016-01-11,2016-01-12,1,469.92,"Santa Cruz Bikes","Genna Serrano","Surly Ice Cream Truck Frameset - 2016",2016,"Mountain Bikes",Surly
16,552,8,"Lea Key",Banning,CA,92220,4,2016-01-15,2016-01-15,1,1799.79,"Santa Cruz Bikes","Genna Serrano","Trek Remedy 29 Carbon Frameset - 2016",2016,"Mountain Bikes",Trek
16,552,21,"Lea Key",Banning,CA,92220,4,2016-01-15,2016-01-15,1,269.94,"Santa Cruz Bikes","Genna Serrano","Electra Cruiser 1 (24-Inch) - 2016",2016,"Children Bicycles",Electra
16,552,13,"Lea Key",Banning,CA,92220,4,2016-01-15,2016-01-15,2,539.91,"Santa Cruz Bikes","Genna Serrano","Electra Cruiser 1 (24-Inch) - 2016",2016,"Cruisers Bicycles",Electra
16,552,14,"Lea Key",Banning,CA,92220,4,2016-01-15,2016-01-15,1,269.92,"Santa Cruz Bikes","Genna Serrano","Electra Girl's Hawaii 1 (16-inch) - 2015/2016",2016,"Cruisers Bicycles",Electra
17,1175,8,"Sindy Anderson",Pomona,CA,91768,4,2016-01-14,2016-01-14,1,1799.92,"Santa Cruz Bikes","Genna Serrano","Trek Remedy 29 Carbon Frameset - 2016",2016,"Mountain Bikes",Trek
17,1175,23,"Sindy Anderson",Pomona,CA,91768,4,2016-01-14,2016-01-14,1,299.89,"Santa Cruz Bikes","Genna Serrano","Electra Girl's Hawaii 1 (20-inch) - 2015/2016",2016,"Children Bicycles",Electra
17,1175,5,"Sindy Anderson",Pomona,CA,91768,4,2016-01-14,2016-01-14,1,1320.89,"Santa Cruz Bikes","Genna Serrano","Heller Shagamaw Frame - 2016",2016,"Mountain Bikes",Heller
17,1175,20,"Sindy Anderson",Pomona,CA,91768,4,2016-01-14,2016-01-14,2,1199.78,"Santa Cruz Bikes","Genna Serrano","Electra Townie Original 7D EQ - Women's - 2016",2016,"Cruisers Bicycles",Electra
18,541,22,"Lanita Burton",Coachella,CA,92236,4,2016-01-17,2016-01-15,1,269.94,"Santa Cruz Bikes","Genna Serrano","Electra Girl's Hawaii 1 (16-inch) - 2015/2016",2016,"Children Bicycles",Electra
18,541,7,"Lanita Burton",Coachella,CA,92236,4,2016-01-17,2016-01-15,1,3999.89,"Santa Cruz Bikes","Genna Serrano","Trek Slash 8 27.5 - 2016",2016,"Mountain Bikes",Trek
18,541,25,"Lanita Burton",Coachella,CA,92236,4,2016-01-17,2016-01-15,2,999.93,"Santa Cruz Bikes","Genna Serrano","Electra Townie Original 7D - 2015/2016",2016,"Comfort Bicycles",Electra
18,541,9,"Lanita Burton",Coachella,CA,92236,4,2016-01-17,2016-01-15,2,5999.88,"Santa Cruz Bikes","Genna Serrano","Trek Conduit+ - 2016",2016,"Electric Bikes",Trek
19,696,10,"Norine Huffman",Encino,CA,91316,4,2016-01-17,2016-01-16,1,1548.93,"Santa Cruz Bikes","Mireya Copeland","Surly Straggler - 2016",2016,"Cyclocross Bicycles",Surly
19,696,9,"Norine Huffman",Encino,CA,91316,4,2016-01-17,2016-01-16,2,5999.78,"Santa Cruz Bikes","Mireya Copeland","Trek Conduit+ - 2016",2016,"Electric Bikes",Trek
20,923,9,"Randee Pitts","Canyon Country",CA,91387,4,2016-01-16,2016-01-17,1,2999.92,"Santa Cruz Bikes","Mireya Copeland","Trek Conduit+ - 2016",2016,"Electric Bikes",Trek
20,923,10,"Randee Pitts","Canyon Country",CA,91387,4,2016-01-16,2016-01-17,2,3097.93,"Santa Cruz Bikes","Mireya Copeland","Surly Straggler - 2016",2016,"Cyclocross Bicycles",Surly
22,1035,15,"Tangela Hurley",Campbell,CA,95008,4,2016-01-18,2016-01-17,2,1059.78,"Santa Cruz Bikes","Mireya Copeland","Electra Moto 1 - 2016",2016,"Cruisers Bicycles",Electra
22,1035,22,"Tangela Hurley",Campbell,CA,95008,4,2016-01-18,2016-01-17,1,269.94,"Santa Cruz Bikes","Mireya Copeland","Electra Girl's Hawaii 1 (16-inch) - 2015/2016",2016,"Children Bicycles",Electra
